Chrmosome	Strand	Junction	/home/bio-longyk/STAR_TRIM/low-1/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/low-2/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/high-1/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/high-2/Aligned.sortedByCoord.out.bam
chr3	+	53161428-53165104	57.8894233921735	80.7913973464974	84.9441549254955	74.4700531481121
chr3	+	53161428-53173493	41.5056243189169	51.9373268656055	13.6691743558269	4.89934560184948
chr3	+	53161428-53178404	90.6570215386868	61.5553503592361	143.526330736182	111.705079722168
chr3	+	53165215-53178404	29.490838331862	25.0068610834397	75.1804589570477	57.8122781018239
chr3	+	53173608-53178404	96.118287896439	88.4858161414019	10.7400655652925	12.7382985648087
chr3	+	53178537-53179577	180.221789805823	188.513260475161	196.2502889658	172.456965185102
chr3	+	53179776-53181207	247.941492641951	270.266460171021	247.997877598573	231.249112407296
chr3	+	53181267-53181444	278.524584245363	308.738554145544	284.12355268183	266.524400740612
chr3	+	53181606-53181701	276.340077702262	227.947156799046	286.076291875519	254.765971296173
chr3	+	53181732-53183121	262.140785172106	231.794366196499	290.958139859743	260.645186018392
chr3	+	53183206-53183452	291.631623503968	236.603377943314	268.501639132313	252.806233055433
chr3	+	53183581-53184874	300.369649676372	353.943264565608	338.800250105137	319.437333240586
chr3	+	53184974-53185604	337.506260909087	410.689603178029	410.075230674806	361.571705416492
chr3	+	53185700-53185927	277.432330973813	350.096055168155	360.280381235722	350.793145092423
chr3	+	53186027-53186167	252.310505728152	290.464309507646	264.596160744934	309.638642036887
chr3	+	53186340-53186604	195.513335607529	268.342855472295	240.186920823815	238.108196249885
chr3	+	53186695-53187340	208.620374866135	271.228262520384	285.099922278675	244.967280092474
chr3	+	53187402-53188720	227.188680482492	295.273321254461	290.958139859743	250.846494814693
chr3	+	53188858-53189058	183.498549620474	270.266460171021	215.777680902695	227.329635925816
chr3	+	53189246-53189873	217.358401038538	255.839424930575	247.021508001728	218.510813842487
chr3	+	53190001-53192108	250.125999185052	235.641575593951	225.541376871143	232.228981527665
chr7	-	550602-551389	90.6570215386868	95.2184325869434	542.861495845695	467.397570416441
